TYPE;string;string;float64;float64;string;float64
ZXAP;ZEAXANTHINE;milligram/m3;0;5;%6.3f;1e36
MZNF;ZN FLUX IN SETTLING PARTICLES;microgram/(m2.day);0;7600;%6.2f;1e36
MZNS;Zn IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
MZRS;Zr IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
SSJT;SEA SURFACE WATER JACKET TEMPERATURE;Celsius degree;-1.5;38;%6.3f;1e36
DAYD;DECIMAL JULIAN DAY TIME ORIGIN 0;decimal day;0.0;3660.0;%9.5f;1e36
TE01;SEA TEMPERATURE PRIMARY SENSOR;Celsius degree;-2;32;%6.3f;1e36
TE02;SEA TEMPERATURE SECONDARY SENSOR;Celsius degree;-2;32;%6.3f;1e36
PSA1;PRACTICAL SALINITY PRIMARY SENSOR;P.S.S.78;33;37;%6.3f;1e36
PSA2;PRACTICAL SALINITY SECONDARY SENSOR;P.S.S.78;33;37;%6.3f;1e36
CND1;ELECTRICAL CONDUCTIVITY PRIMARY SENSOR;mho/meter;3;7;%5.3f;1e36
CND2;ELECTRICAL CONDUCTIVITY SECONDARY SENSOR;mho/meter;3;7;%5.3f;1e36
DO11;DISSOLVED OXYGEN PRIMARY SENSOR;ml/l;0;10;%5.2f;1e36
DO21;DISSOLVED OXYGEN SECONDARY SENSOR;ml/l;0;10;%5.2f;1e36
DO12;DISSOLVED OXYGEN PRIMARY SENSOR;micromole/kg;0;450;%7.3f;1e36
DO22;DISSOLVED OXYGEN SECONDARY SENSOR;micromole/kg;0;450;%7.3f;1e36
DOV1;DISSOLVED OXYGEN PRIMARY SENSOR VOLTAGE;V;0;10;%6.4f;1e36
DOV2;DISSOLVED OXYGEN SECONDARY SENSOR VOLTAGE;V;0;10;%6.4f;1e36
DVT1;DISSOLVED OXYGEN PRIMARY SENSOR dV/dt;dv/dt;-1;1;%+7.5f;1e36
DVT2;DISSOLVED OXYGEN SECONDARY SENSOR dV/dt;dv/dt;-1;1;%+7.5f;1e36
WETT;WET BULB TEMPERATURE;Celsius degree;0;90;%5.1f;1e36
HEIG;ATMOSPHERIC HEIGHT;meter;0;40000;%8.2f;1e1e36
BOTL;SEA WATER SAMPLE BOTTLE NUMBER;N/A;1;36;%4d;1e36
PRFL;PROFILE NUMBER;N/A;1;99999;%5.0f;1e36
PROFILE;PROFILE NUMBER;N/A;1;99999;%5.0f;1e36
